开放粤语字典（耶鲁拼音数字调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［耶鲁拼音］
藏	藏	jong6
状	狀	jong6
撞	撞	jong6
脏	臟	jong6
遭	遭	jou1
租	租	jou1
糟	糟	jou1
组	組	jou2
藻	藻	jou2
蚤	蚤	jou2
早	早	jou2
澡	澡	jou2
枣	棗	jou2
祖	祖	jou2
驵	駔	jou2
灶	灶	jou3
做	做	jou6
造	造	jou6
皂	皂	jou6
慥	慥	jou6/chou3
足	足	juk7
竹	竹	juk7
祝	祝	juk7
粥	粥	juk7
捉	捉	juk7
瞩	矚	juk7
烛	燭	juk7
嘱	囑	juk7
竺	竺	juk7
筑	築	juk7
镯	鐲	juk9
族	族	juk9
逐	逐	juk9
浊	濁	juk9
轴	軸	juk9
续	續	juk9
妯	妯	juk9
俗	俗	juk9
躅	躅	juk9
镞	鏃	juk9
中	中	jung1
终	終	jung1
纵	縱	jung1
盅	盅	jung1
宗	宗	jung1
棕	棕	jung1
钟	鍾	jung1
忠	忠	jung1
鬃	鬃	jung1
螽	螽	jung1
踪	蹤	jung1
钟	鐘	jung1
枞	樅	jung1
衷	衷	jung1/chung1
综	綜	jung1/jung3
种	種	jung2
肿	腫	jung2
总	總	jung2
纵	縱	jung3
中	中	jung3
种	種	jung3
众	眾	jung3
粽	粽	jung3/jung2
重	重	jung6
讼	訟	jung6
诵	誦	jung6
颂	頌	jung6
仲	仲	jung6
侏	侏	jyu1
诸	諸	jyu1
朱	朱	jyu1
铢	銖	jyu1
诛	誅	jyu1
茱	茱	jyu1
珠	珠	jyu1
猪	豬	jyu1
蛛	蛛	jyu1
株	株	jyu1
主	主	jyu2
煮	煮	jyu2
驻	駐	jyu3
蛀	蛀	jyu3
著	著	jyu3
注	註	jyu3
著	著	jyu3
注	注	jyu3
炷	炷	jyu3
住	住	jyu6
箸	箸	jyu6
砖	磚	jyun1
颛	顓	jyun1
尊	尊	jyun1
专	專	jyun1
鳟	鱒	jyun1/jyun3
镌	鐫	jyun1/jeun3
转	轉	jyun2
纂	纂	jyun2
传	傳	jyun2
转	轉	jyun3
钻	鑽	jyun3
钻	鑽	jyun3/jyun1
传	傳	jyun6
辍	輟	jyut8
拙	拙	jyut8
啜	啜	jyut8
茁	茁	jyut8
咄	咄	jyut8
掇	掇	jyut8
绝	絕	jyut9
喀	喀	ka1
卡	卡	ka1
卡	卡	ka2
髂	髂	ka3
楷	楷	kaai2
蒈	蒈	kaai2
锴	鍇	kaai2/gaai1
揢	揢	kaak8
咯	咯	kaak8
铐	銬	kaau3
靠	靠	kaau3
稽	稽	kai1
蹊	蹊	kai1
溪	溪	kai1
嵇	嵇	kai1/hai4
启	啟	kai2
契	契	kai3
襟	襟	kam1
噙	噙	kam4
禽	禽	kam4
擒	擒	kam4
琴	琴	kam4
妗	妗	kam5
勤	勤	kan4
芹	芹	kan4
近	近	kan5
岌	岌	kap7
给	給	kap7
吸	吸	kap7
汲	汲	kap7
笈	笈	kap7
级	級	kap7
歙	歙	kap7
及	及	kap9
芨	芨	kap9/gap7
咳	咳	kat7
卡	卡	kat7
抠	摳	kau1
篝	篝	kau1/gau1
沟	溝	kau1/gau1
叩	叩	kau3
扣	扣	kau3
寇	寇	kau3
扣	釦	kau3
蔻	蔻	kau3
构	構	kau3/gau3
媾	媾	kau3/gau3
购	購	kau3/gau3
裘	裘	kau4
毬	毬	kau4
球	球	kau4
求	求	kau4
仇	仇	kau4
虬	虯	kau4
犰	犰	kau4
逑	逑	kau4
舅	舅	kau5/kau3
臼	臼	kau5/kau3
茄	茄	ke2
骑	騎	ke4
瘸	瘸	ke4
蹊	蹊	kei1
崎	崎	kei1
暨	暨	kei3
冀	冀	kei3
骥	驥	kei3
耆	耆	kei4
鳍	鰭	kei4
俟	俟	kei4
旗	旗	kei4
奇	奇	kei4
岐	岐	kei4
棋	棋	kei4
琪	琪	kei4
旂	旂	kei4
琦	琦	kei4
歧	歧	kei4
淇	淇	kei4
祈	祈	kei4
其	其	kei4
萁	萁	kei4
麒	麒	kei4
期	期	kei4
祺	祺	kei4
祁	祁	kei4
蕲	蘄	kei4
企	企	kei5
屐	屐	kek9
剧	劇	kek9
驱	驅	keui1
躯	軀	keui1
岖	嶇	keui1
拘	拘	keui1
驹	駒	keui1
祛	祛	keui1
俱	俱	keui1
区	區	keui1
璩	璩	keui4
蠼	蠼	keui4
瞿	瞿	keui4
渠	渠	keui4
衢	衢	keui4
朐	朐	keui4
距	距	keui5
拒	拒	keui5
却	卻	keuk8
噱	噱	keuk9
强	強	keung4
强	強	keung5
羟	羥	keung5
黔	黔	kim4
钳	鉗	kim4
虔	虔	kin4
掮	掮	kin4
乾	乾	kin4
犍	犍	kin4
倾	傾	king1
顷	頃	king2
琼	瓊	king4
擎	擎	king4
鲸	鯨	king4
黥	黥	king4
黠	黠	kit8
孑	孑	kit8
揭	揭	kit8
诘	詰	kit8
羯	羯	kit8
竭	竭	kit8
锲	鍥	kit8
颉	頡	kit8
撷	擷	kit8/git8
跷	蹺	kiu1/hiu1
翘	翹	kiu3/hiu3
侨	僑	kiu4
桥	橋	kiu4
翘	翹	kiu4
荞	蕎	kiu4
乔	喬	kiu4
跷	蹺	kiu5
丐	丐	koi3
溉	溉	koi3
钙	鈣	koi3
慨	慨	koi3
盖	蓋	koi3
概	概	koi3
忾	愾	koi3
欬	欬	koi3
确	確	kok8
榷	榷	kok8
郝	郝	kok8
恪	恪	kok8
悫	慤	kok8
壑	壑	kok8
涸	涸	kok8
扛	扛	kong1
亢	亢	kong3
抗	抗	kong3
伉	伉	kong3
扩	擴	kong3
炕	炕	kong3
闶	閌	kong3
箍	箍	ku1
刽	劊	kui2
贿	賄	kui2
溃	潰	kui2
狯	獪	kui2
聩	聵	kui2
绘	繪	kui2
脍	膾	kui2
鲙	鱠	kui2
侩	儈	kui2
桧	檜	kui2
浍	澮	kui2
郐	鄶	kui2
会	會	kui2/wui6
曲	曲	kuk7
曲	麴	kuk7
穷	窮	kung4
穹	穹	kung4
邛	邛	kung4
豁	豁	kut8
聒	聒	kut8
蛞	蛞	kut8
括	括	kut8
垮	垮	kwa1
夸	夸	kwa1
夸	誇	kwa1
侉	侉	kwa2
胯	胯	kwa3
跨	跨	kwa3
挎	挎	kwa3
框	框	kwaang1/hong1
逛	逛	kwaang3
亏	虧	kwai1
窥	窺	kwai1
盔	盔	kwai1
规	規	kwai1
岿	巋	kwai1
畦	畦	kwai4
携	攜	kwai4
睽	睽	kwai4
馗	馗	kwai4
喹	喹	kwai4
暌	暌	kwai4
夔	夔	kwai4
葵	葵	kwai4
揆	揆	kwai4/kwai5
愧	愧	kwai5
坤	坤	kwan1
昆	昆	kwan1
昆	崑	kwan1
髡	髡	kwan1
焜	焜	kwan1/wan6
菌	菌	kwan2
捆	捆	kwan2
困	困	kwan3
窘	窘	kwan3
困	睏	kwan3
群	群	kwan4
裙	裙	kwan4
扩	擴	kwok8
旷	曠	kwong3
矿	礦	kwong3/kong3
邝	鄺	kwong3/kong3
狂	狂	kwong4
蜷	蜷	kyun4
颧	顴	kyun4
拳	拳	kyun4
权	權	kyun4
鬈	鬈	kyun4
獗	獗	kyut8
决	決	kyut8
诀	訣	kyut8
缺	缺	kyut8
抉	抉	kyut8
蹶	蹶	kyut8
厥	厥	kyut8
孓	孓	kyut8
蕨	蕨	kyut8
撅	撅	kyut8
阙	闕	kyut8
橛	橛	kyut8/gyut9
啦	啦	la1
喇	喇	la1
拉	拉	la1
喇	喇	la3
拉	拉	laai1
癞	癩	laai3
赖	賴	laai6
籁	籟	laai6
落	落	laai6
篮	籃	laam4
褴	襤	laam4
婪	婪	laam4
蓝	藍	laam4
岚	嵐	laam4
览	覽	laam5
揽	攬	laam5
榄	欖	laam5
缆	纜	laam6
滥	濫	laam6
舰	艦	laam6
兰	蘭	laan4
襕	襴	laan4
斓	斕	laan4
栏	欄	laan4
拦	攔	laan4
阑	闌	laan4
澜	瀾	laan4
懒	懶	laan5
烂	爛	laan6
冷	冷	laang5
立	立	laap9
蜡	蠟	laap9
垃	垃	laap9
腊	臘	laap9
砬	砬	laap9
邋	邋	laap9/laat9
辣	辣	laat9
拉	拉	laat9
藜	藜	lai4
犂	犂	lai4
黎	黎	lai4
犁	犁	lai4
蠡	蠡	lai4/lai5
礼	禮	lai5
鳢	鱧	lai5
醴	醴	lai5
澧	澧	lai5
励	勵	lai6
丽	麗	lai6
蛎	蠣	lai6
厉	厲	lai6
例	例	lai6
砺	礪	lai6
荔	荔	lai6
俪	儷	lai6
勒	勒	lak9/laak9
肋	肋	lak9/laak9
鳓	鰳	lak9/laak9
林	林	lam4
啉	啉	lam4
淋	淋	lam4
琳	琳	lam4
霖	霖	lam4
临	臨	lam4
凛	凜	lam5
懔	懍	lam5
笠	笠	lap7
甩	甩	lat7
喽	嘍	lau1
搂	摟	lau2
浏	瀏	lau4
榴	榴	lau4
娄	婁	lau4
流	流	lau4
琉	琉	lau4
捞	撈	lau4
刘	劉	lau4
螻	螻	lau4
楼	樓	lau4
硫	硫	lau4
偻	僂	lau4
髅	髏	lau4
瘤	瘤	lau4
留	留	lau4
骝	騮	lau4
篓	簍	lau5
柳	柳	lau5
蹓	蹓	lau6
陋	陋	lau6
漏	漏	lau6
溜	溜	lau6
馏	餾	lau6
遛	遛	lau6
镂	鏤	lau6
咧	咧	le1
哩	哩	le1
咧	咧	le2
璃	璃	lei1
喱	喱	lei1
缡	縭	lei4
璃	璃	lei4
罹	罹	lei4
狸	狸	lei4
梨	梨	lei4
蜊	蜊	lei4
漓	漓	lei4
鲡	鱺	lei4
离	離	lei4
厘	釐	lei4
篱	籬	lei4
俚	俚	lei5
履	履	lei5
李	李	lei5
里	里	lei5
鲤	鯉	lei5
锂	鋰	lei5
逦	邐	lei5
理	理	lei5
娌	娌	lei5
哩	哩	lei5/ying1/lei5
莉	莉	lei6
莅	蒞	lei6
利	利	lei6
俐	俐	lei6
吏	吏	lei6
痢	痢	lei6
猁	猁	lei6
靓	靚	leng3
镭	鐳	leui4
驴	驢	leui4
闾	閭	leui4
擂	擂	leui4
嫘	嫘	leui4
榈	櫚	leui4
雷	雷	leui4
缧	縲	leui4
累	纍	leui4
羸	羸	leui4
骡	騾	leui4/lo4
褛	褸	leui5
铝	鋁	leui5
缕	縷	leui5
磊	磊	leui5
膂	膂	leui5
侣	侶	leui5
旅	旅	leui5
垒	壘	leui5
吕	呂	leui5
屡	屢	leui5
累	累	leui5
里	裡	leui5
儡	儡	leui5
蕾	蕾	leui5/leui4
滤	濾	leui6
类	類	leui6
泪	淚	leui6
虑	慮	leui6
累	累	leui6
漯	漯	leui6
戾	戾	leui6
略	略	leuk9
掠	掠	leuk9
卵	卵	leun2
麟	麟	leun4
遴	遴	leun4
磷	磷	leun4
论	論	leun4
粼	粼	leun4
嶙	嶙	leun4
鳞	鱗	leun4
伦	倫	leun4
仑	崙	leun4
抡	掄	leun4
璘	璘	leun4
沦	淪	leun4
仑	侖	leun4
囵	圇	leun4
轮	輪	leun4
邻	鄰	leun4
纶	綸	leun4
论	論	leun6
吝	吝	leun6
躏	躪	leun6
蔺	藺	leun6
两	兩	leung2
梁	梁	leung4
凉	涼	leung4
量	量	leung4
粮	糧	leung4
粱	粱	leung4
良	良	leung4
莨	莨	leung4
魉	魎	leung5
俩	倆	leung5
两	兩	leung5
谅	諒	leung6
踉	踉	leung6
辆	輛	leung6
量	量	leung6
亮	亮	leung6
鹬	鷸	leut9
栗	慄	leut9
傈	傈	leut9
律	律	leut9
率	率	leut9
栗	栗	leut9
篥	篥	leut9
溧	溧	leut9
哩	哩	li1
雳	靂	lik7
砾	礫	lik7
枥	櫪	lik7
沥	瀝	lik7/lik9
历	歷	lik9
历	曆	lik9
力	力	lik9
令	令	lim1
帘	簾	lim4
帘	帘	lim4
镰	鐮	lim4
廉	廉	lim4
殓	殮	lim5
脸	臉	lim5
敛	斂	lim6
裣	襝	lim6
链	鏈	lin4
连	連	lin4
莲	蓮	lin4
涟	漣	lin4
怜	憐	lin4
辇	輦	lin5
撵	攆	lin5
炼	煉	lin6
练	練	lin6
绫	綾	ling4
棱	稜	ling4
羚	羚	ling4
苓	苓	ling4
呤	呤	ling4
櫺	櫺	ling4
翎	翎	ling4
菱	菱	ling4
零	零	ling4
铃	鈴	ling4
灵	靈	ling4
鲮	鯪	ling4
玲	玲	ling4
囹	囹	ling4
凌	凌	ling4
龄	齡	ling4
聆	聆	ling4
陵	陵	ling4
令	令	ling4
伶	伶	ling4
蛉	蛉	ling4
领	領	ling5/leng5
岭	嶺	ling5/leng5
令	令	ling6
另	另	ling6
愣	愣	ling6
猎	獵	lip9
鬣	鬣	lip9
裂	裂	lit9
烈	烈	lit9
列	列	lit9
捩	捩	lit9
冽	冽	lit9
撩	撩	liu1
溜	溜	liu1
撂	撂	liu1
嘹	嘹	liu4
缭	繚	liu4
辽	遼	liu4
僚	僚	liu4
镣	鐐	liu4
獠	獠	liu4
寮	寮	liu4
瞭	瞭	liu4
燎	燎	liu4
撩	撩	liu4
疗	療	liu4
聊	聊	liu4
寥	寥	liu4
了	瞭	liu5
了	了	liu5
潦	潦	liu5/liu2
料	料	liu6
廖	廖	liu6
尥	尥	liu6
囉	囉	lo1
咯	咯	lo1
旯	旯	lo1/lok8
裸	裸	lo2
猡	玀	lo4
逻	邏	lo4
罗	羅	lo4
锣	鑼	lo4
箩	籮	lo4
萝	蘿	lo4
螺	螺	lo4/lo2
莱	萊	loi4
来	來	loi4
徕	徠	loi4
涞	淶	loi4
崃	崍	loi4
睐	睞	loi6
赉	賚	loi6
耒	耒	loi6/leui6
络	絡	lok8
烙	烙	lok8
铬	鉻	lok8
饹	餎	lok8
珞	珞	lok8
酪	酪	lok8
洛	洛	lok8/lok9
骆	駱	lok8/lok9
乐	樂	lok9
落	落	lok9
啷	啷	long1
郎	郎	long2
狼	狼	long4
琅	瑯	long4
郎	郎	long4
廊	廊	long4
螂	螂	long4
锒	鋃	long4
榔	榔	long4
莨	莨	long4
朗	朗	long5
晾	晾	long6
浪	浪	long6
蒗	蒗	long6
阆	閬	long6/long4
捞	撈	lou1
噜	嚕	lou1
佬	佬	lou2
胪	臚	lou4
痨	癆	lou4
颅	顱	lou4
卢	盧	lou4
炉	爐	lou4
庐	廬	lou4
劳	勞	lou4
牢	牢	lou4
醪	醪	lou4
芦	蘆	lou4
轳	轤	lou4
唠	嘮	lou4
鲈	鱸	lou4
泸	瀘	lou4
老	老	lou5
姥	姥	lou5
掳	擄	lou5
鲁	魯	lou5
卤	鹵	lou5
虏	虜	lou5
卤	滷	lou5
橹	櫓	lou5
露	露	lou6
璐	璐	lou6
路	路	lou6
涝	澇	lou6
鹭	鷺	lou6
劳	勞	lou6
赂	賂	lou6
辂	輅	lou6
潞	潞	lou6
嫪	嫪	lou6
麓	麓	luk7
辘	轆	luk7
碌	碌	luk7
禄	祿	luk9
戮	戮	luk9
氯	氯	luk9
六	六	luk9
录	錄	luk9
碌	碌	luk9
陆	陸	luk9
绿	綠	luk9
鹿	鹿	luk9
漉	漉	luk9
眬	矓	lung4
隆	隆	lung4
胧	朧	lung4
龙	龍	lung4
笼	籠	lung4
珑	瓏	lung4
昽	曨	lung4
窿	窿	lung4
咙	嚨	lung4
聋	聾	lung4
茏	蘢	lung4
笼	籠	lung5
拢	攏	lung5
垄	壟	lung5
陇	隴	lung5
弄	弄	lung6
恋	戀	lyun2
脔	臠	lyun2/lyun4
鸾	鸞	lyun4
峦	巒	lyun4
挛	攣	lyun4
孪	孿	lyun4
联	聯	lyun4
栾	欒	lyun4
滦	灤	lyun4
乱	亂	lyun6
捋	捋	lyut8
劣	劣	lyut8/lyut9
妈	媽	ma1
嬷	嬤	ma1
吗	嗎	ma1/ma3
嘛	嘛	ma3
麻	麻	ma4
蟆	蟆	ma4
麻	痲	ma4
犸	獁	ma5
马	馬	ma5
码	碼	ma5
玛	瑪	ma5
蚂	螞	ma5
骂	罵	ma6
埋	埋	maai4
霾	霾	maai4/mai4
荬	蕒	maai5
买	買	maai5
卖	賣	maai6
迈	邁	maai6
擘	擘	maak8
馒	饅	maan4
蛮	蠻	maan4
鳗	鰻	maan4
谩	謾	maan4
蔓	蔓	maan4
晚	晚	maan5
幔	幔	maan6
万	萬	maan6
曼	曼	maan6
漫	漫	maan6
慢	慢	maan6
谩	謾	maan6
嫚	嫚	maan6
镘	鏝	maan6
蔓	蔓	maan6
墁	墁	maan6
缦	縵	maan6
熳	熳	maan6
绷	繃	maang1
盲	盲	maang4
锰	錳	maang5
蜢	蜢	maang5
猛	猛	maang5
勐	勐	maang5
孟	孟	maang6
猫	貓	maau1
矛	矛	maau4
茅	茅	maau4
卯	卯	maau5
铆	鉚	maau5
袤	袤	maau6
懋	懋	maau6
貌	貌	maau6
咪	咪	mai1/mei1
谜	謎	mai4
醚	醚	mai4
眯	瞇	mai4
迷	迷	mai4
米	米	mai5
袂	袂	mai6
麦	麥	mak9
脉	脈	mak9
陌	陌	mak9
墨	墨	mak9
万	万	mak9
默	默	mak9
蓦	驀	mak9
貘	貘	mak9
蚊	蚊	man1
文	文	man4
民	民	man4
闻	聞	man4
氓	氓	man4
玟	玟	man4
纹	紋	man4
雯	雯	man4
缗	緡	man4
岷	岷	man4
旻	旻	man4
忞	忞	man4
珉	珉	man4
苠	苠	man4
泯	泯	man5
敏	敏	man5
抿	抿	man5
悯	憫	man5
刎	刎	man5
闽	閩	man5
闵	閔	man5
吻	吻	man5
渑	澠	man5
鳘	鰵	man5
黾	黽	man5
愍	愍	man5
湣	湣	man5
紊	紊	man6
汶	汶	man6
问	問	man6
萌	萌	mang4
盟	盟	mang4
嘧	嘧	mat9
密	密	mat9
勿	勿	mat9
蜜	蜜	mat9
物	物	mat9
袜	襪	mat9
谧	謐	mat9
宓	宓	mat9
哞	哞	mau1
谋	謀	mau4
牟	牟	mau4
眸	眸	mau4
缪	繆	mau4
牡	牡	mau5
某	某	mau5
亩	畝	mau5
贸	貿	mau6
茂	茂	mau6
谬	謬	mau6
哶	哶	me1
微	微	mei4
楣	楣	mei4
嵋	嵋	mei4
靡	靡	mei4
蘼	蘼	mei4
眉	眉	mei4
麋	麋	mei4
薇	薇	mei4
湄	湄	mei4
弥	瀰	mei4/nei4
猕	獼	mei4/nei4
尾	尾	mei5
镁	鎂	mei5
美	美	mei5
娓	娓	mei5
媺	媺	mei5
魅	魅	mei6
媚	媚	mei6
寐	寐	mei6
味	味	mei6
未	未	mei6
命	命	meng6
觅	覓	mik9
幂	冪	mik9
汨	汨	mik9
鼏	鼏	mik9
眠	眠	min4
棉	棉	min4
绵	綿	min4
缅	緬	min5
腼	靦	min5
免	免	min5
娩	娩	min5
冕	冕	min5
勉	勉	min5
面	面	min6
面	麵	min6
名	名	ming4
明	明	ming4
冥	冥	ming4
鸣	鳴	ming4
洺	洺	ming4
溟	溟	ming4
螟	螟	ming4
瞑	瞑	ming4/ming5
铭	銘	ming4/ming5
暝	暝	ming4/ming6
皿	皿	ming5
酩	酩	ming5
茗	茗	ming5/ming4
命	命	ming6
蔑	蔑	mit9
篾	篾	mit9
灭	滅	mit9
蔑	衊	mit9
喵	喵	miu1
瞄	瞄	miu4
苗	苗	miu4
描	描	miu4
杳	杳	miu5
渺	渺	miu5
缈	緲	miu5
秒	秒	miu5
邈	邈	miu5
藐	藐	miu5
淼	淼	miu5
庙	廟	miu6
妙	妙	miu6
摩	摩	mo1
么	麼	mo1
魔	魔	mo1
摸	摸	mo2
磨	磨	mo4
蘑	蘑	mo4
馍	饃	mo4
剥	剝	mok7
漠	漠	mok9
膜	膜	mok9
幕	幕	mok9
莫	莫	mok9
寞	寞	mok9
铓	鋩	mong4
亡	亡	mong4
氓	氓	mong4
忙	忙	mong4
芒	芒	mong4
莽	莽	mong4
茫	茫	mong4
忘	忘	mong4
虻	虻	mong4
罔	罔	mong5
妄	妄	mong5
惘	惘	mong5
蟒	蟒	mong5
网	網	mong5
魍	魍	mong5
辋	輞	mong5
望	望	mong6
模	模	mou4
髦	髦	mou4
摹	摹	mou4
谟	謨	mou4
膜	膜	mou4
诬	誣	mou4
毛	毛	mou4
无	無	mou4
芜	蕪	mou4
毋	毋	mou4
巫	巫	mou4
牦	氂	mou4/lei4
姆	姆	mou5
侮	侮	mou5
武	武	mou5
母	母	mou5
鹉	鵡	mou5
妩	嫵	mou5
拇	拇	mou5
舞	舞	mou5
暮	暮	mou6
瑁	瑁	mou6
雾	霧	mou6
帽	帽	mou6
慕	慕	mou6
募	募	mou6
冒	冒	mou6
骛	騖	mou6
耄	耄	mou6
务	務	mou6
墓	墓	mou6
鹜	鶩	mou6
戊	戊	mou6
婺	婺	mou6
梅	梅	mui4
媒	媒	mui4
煤	煤	mui4
玫	玫	mui4
枚	枚	mui4
霉	霉	mui4
莓	莓	mui4
酶	酶	mui4
每	每	mui5
妹	妹	mui6
昧	昧	mui6
钼	鉬	muk9
木	木	muk9
牧	牧	muk9
睦	睦	muk9
沐	沐	muk9
苜	苜	muk9
目	目	muk9
仫	仫	muk9
穆	穆	muk9
门	門	mun4
们	們	mun4
瞒	瞞	mun4
扪	捫	mun4
鞔	鞔	mun4
满	滿	mun5
螨	蟎	mun5
闷	悶	mun6
焖	燜	mun6
曚	曚	mung4
蒙	矇	mung4
朦	朦	mung4
蒙	蒙	mung4
蒙	濛	mung4
檬	檬	mung4
蠓	蠓	mung5
懵	懵	mung5/mung2
梦	夢	mung6
沫	沫	mut8
抹	抹	mut8/maat8
末	末	mut9
没	沒	mut9
茉	茉	mut9
靺	靺	mut9
殁	歿	mut9
哪	哪	na1
哪	哪	na4
娜	娜	na4
拿	拿	na4
南	南	na4
那	那	na5
哪	哪	na5
氖	氖	naai5
乃	乃	naai5
鼐	鼐	naai5
奶	奶	naai5
南	南	naam4
囡	囡	naam4
喃	喃	naam4
楠	楠	naam4
男	男	naam4
腩	腩	naam5
难	難	naan4
赧	赧	naan5
难	難	naan6
钠	鈉	naap9
呐	吶	naap9
纳	納	naap9
衲	衲	naap9
捺	捺	naat9
孬	孬	naau1
桡	橈	naau4
铙	鐃	naau4
锚	錨	naau4
挠	撓	naau4
猱	猱	naau4
闹	鬧	naau6
淖	淖	naau6
泥	泥	nai4
呢	呢	nai4/nei4
稔	稔	nam5
能	能	nang4
粒	粒	nap7/lap7
纽	紐	nau2
朽	朽	nau2
钮	鈕	nau2
扭	扭	nau2
妞	妞	nau2
狃	狃	nau2
呢	呢	ne1
妮	妮	nei4
怩	怩	nei4
弥	彌	nei4
铌	鈮	nei4
尼	尼	nei4
旎	旎	nei5
您	您	nei5
你	妳	nei5
你	你	nei5
饵	餌	nei6
腻	膩	nei6
钕	釹	neui5
馁	餒	neui5
女	女	neui5/leui5
娘	娘	neung4
讷	訥	neut9/naap9
嗯	嗯	ng2
蜈	蜈	ng4
鼯	鼯	ng4
梧	梧	ng4
吾	吾	ng4
吴	吳	ng4
伍	伍	ng5
牾	牾	ng5
午	午	ng5
忤	忤	ng5
五	五	ng5
焐	焐	ng6
晤	晤	ng6
误	誤	ng6
嗯	嗯	ng6
捂	摀	ng6
悟	悟	ng6
芽	芽	nga4
衙	衙	nga4
牙	牙	nga4
雅	雅	nga5
佤	佤	nga5
瓦	瓦	nga5
讶	訝	nga6
挨	捱	ngaai4
涯	涯	ngaai4
崖	崖	ngaai4
睚	睚	ngaai4
厓	厓	ngaai4
艾	艾	ngaai6
刈	刈	ngaai6
砹	砹	ngaai6
额	額	ngaak9
岩	岩	ngaam4
癌	癌	ngaam4
颜	顏	ngaan4
眼	眼	ngaan5
雁	雁	ngaan6
赝	贗	ngaan6
硬	硬	ngaang6
肴	餚	ngaau4
爻	爻	ngaau4
淆	淆	ngaau4
咬	咬	ngaau5
倪	倪	ngai4
猊	猊	ngai4
霓	霓	ngai4
巍	巍	ngai4
危	危	ngai4
蚁	蟻	ngai5
艺	藝	ngai6
毅	毅	ngai6
呓	囈	ngai6
诣	詣	ngai6
魏	魏	ngai6
羿	羿	ngai6
伪	偽	ngai6
睨	睨	ngai6
银	銀	ngan4
垠	垠	ngan4
龈	齦	ngan4
龂	齗	ngan4
沂	沂	ngan4
屹	屹	ngat9
迄	迄	ngat9
兀	兀	ngat9
杌	杌	ngat9
圪	圪	ngat9
勾	勾	ngau1
牛	牛	ngau4
藕	藕	ngau5
偶	偶	ngau5
啮	齧	ngit9/ngaat9
娥	娥	ngo4
俄	俄	ngo4
讹	訛	ngo4
鹅	鵝	ngo4
哦	哦	ngo4
莪	莪	ngo4
蛾	蛾	ngo4
峨	峨	ngo4
我	我	ngo5
卧	臥	ngo6
饿	餓	ngo6
呆	呆	ngoi4
碍	礙	ngoi6
外	外	ngoi6
鄂	鄂	ngok9
噩	噩	ngok9
愕	愕	ngok9
岳	嶽	ngok9
颚	顎	ngok9
鳄	鱷	ngok9
乐	樂	ngok9
岳	岳	ngok9
岸	岸	ngon6
犴	犴	ngon6
肮	骯	ngong1/ngong3
盎	盎	ngong3/ngong2
昂	昂	ngong4
懊	懊	ngou3
澳	澳	ngou3
奥	奧	ngou3
袄	襖	ngou3/ngou2
螯	螯	ngou4
骜	驁	ngou4
獒	獒	ngou4
敖	敖	ngou4
翱	翱	ngou4
鳌	鰲	ngou4
熬	熬	ngou4/ngau4
遨	遨	ngou4/ngou6
傲	傲	ngou6
昵	暱	nik7
匿	匿	nik7
溺	溺	nik7/nik9
拈	拈	nim1
粘	粘	nim1/jim1
黏	黏	nim1/jim1
捻	捻	nim2
鲇	鯰	nim4
念	念	nim6
念	唸	nim6
廿	廿	nim6
年	年	nin4
碾	碾	nin5
宁	寧	ning4
狞	獰	ning4
咛	嚀	ning4
柠	檸	ning4
佞	佞	ning6
拧	擰	ning6
泞	濘	ning6
镍	鎳	nip7
聂	聶	nip9
颞	顳	nip9
捏	捏	nip9
镊	鑷	nip9
涅	涅	nip9
蹑	躡	nip9
陧	隉	nip9
袅	裊	niu5
鸟	鳥	niu5
尿	尿	niu6
溺	溺	niu6
挪	挪	no4
挼	挼	no4
糯	糯	no6
懦	懦	no6
奈	奈	noi6
耐	耐	noi6
内	內	noi6
诺	諾	nok9
囊	囊	nong4
囔	囔	nong4
馕	饢	nong4
瓤	瓤	nong4
馕	饢	nong5
齉	齉	nong6
奴	奴	nou4
瑙	瑙	nou5
弩	弩	nou5
恼	惱	nou5
脑	腦	nou5
努	努	nou5/lou5
怒	怒	nou6
忸	忸	nuk9/nau2
侬	儂	nung4
脓	膿	nung4
浓	濃	nung4
农	農	nung4
暖	暖	nyun5
嫩	嫩	nyun6
婀	婀	o1
噢	噢	o1
喔	喔	o1
轲	軻	o1
柯	柯	o1
珂	珂	o1
阿	阿	o1
哦	哦	o4
哦	哦	o6
埃	埃	oi1
哀	哀	oi1
蔼	藹	oi2
暧	曖	oi2
叆	靉	oi2
毐	毐	oi2
爱	愛	oi3
瑷	璦	oi3
恶	惡	ok8
垩	堊	ok8
恶	噁	ok8
安	安	on1
鞍	鞍	on1
氨	氨	on1
铵	銨	on1
胺	胺	on1
桉	桉	on1
案	案	on3
按	按	on3
摁	摁	on3
媪	媼	ou2
趴	趴	pa1
怕	怕	pa3
耙	耙	pa4
扒	扒	pa4
爬	爬	pa4
杷	杷	pa4
琶	琶	pa4
派	派	paai3
哌	哌	paai3
湃	湃	paai3/baai3
排	排	paai4
俳	俳	paai4
牌	牌	paai4
啪	啪	paak7
珀	珀	paak8
拍	拍	paak8
柏	柏	paak8
帕	帕	paak8
魄	魄	paak8
扳	扳	paan1
攀	攀	paan1
盼	盼	paan3
袢	袢	paan3
