开放粤语字典（国际音标版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［国际音标］
佰	佰	pa:k˧
百	百	pa:k˧
卜	蔔	pa:k˨
白	白	pa:k˨
帛	帛	pa:k˨
匐	匐	pa:k˨
班	班	pa:n˥
颁	頒	pa:n˥
斑	斑	pa:n˥
瘢	瘢	pa:n˥
扮	扮	pa:n˧
舨	舨	pa:n˧˥
坂	坂	pa:n˧˥
版	版	pa:n˧˥
板	板	pa:n˧˥
板	闆	pa:n˧˥
扮	扮	pa:n˨
办	辦	pa:n˨
八	八	pa:t˧
捌	捌	pa:t˧
茇	茇	pa:t˨
褒	褒	pa:u˥
包	包	pa:u˥
鲍	鮑	pa:u˥
苞	苞	pa:u˥
胞	胞	pa:u˥
孢	孢	pa:u˥
爆	爆	pa:u˧
饱	飽	pa:u˧˥
鲍	鮑	pa:u˨
龅	齙	pa:u˨
蹦	蹦	pa:ŋ˨
绷	繃	pa:ŋ˨
笆	笆	pa:˥
疤	疤	pa:˥
芭	芭	pa:˥
叭	叭	pa:˥
葩	葩	pa:˥
巴	巴	pa:˥
粑	粑	pa:˥
爸	爸	pa:˥
坝	壩	pa:˧
霸	霸	pa:˧
钯	鈀	pa:˧˥
把	把	pa:˧˥
靶	靶	pa:˧˥
罢	罷	pa:˨
吧	吧	pa:˨
卑	卑	pei˥
碑	碑	pei˥
裨	裨	pei˥
屄	屄	pei˥
悲	悲	pei˥
秘	秘	pei˧
痹	痺	pei˧
臂	臂	pei˧
泌	泌	pei˧
铋	鉍	pei˧
辔	轡	pei˧
庇	庇	pei˧
比	比	pei˧˥
妣	妣	pei˧˥
彼	彼	pei˧˥
匕	匕	pei˧˥/pei˧
避	避	pei˨
鼻	鼻	pei˨
箆	箆	pei˨
被	被	pei˨
备	備	pei˨
惫	憊	pei˨/pa:i˨
鞭	鞭	pi:n˥
边	邊	pi:n˥
辫	辮	pi:n˥
变	變	pi:n˧
贬	貶	pi:n˧˥
匾	匾	pi:n˧˥
扁	扁	pi:n˧˥
便	便	pi:n˨
卞	卞	pi:n˨
辩	辯	pi:n˨
辨	辨	pi:n˨
觱	觱	pi:t˥
必	必	pi:t˥
鳖	鱉	pi:t˧
别	彆	pi:t˧
憋	憋	pi:t˧
别	別	pi:t˨
蹩	蹩	pi:t˨
瘪	癟	pi:t˨
飙	飆	pi:u˥
膘	膘	pi:u˥
镳	鑣	pi:u˥
彪	彪	pi:u˥
镖	鏢	pi:u˥
标	標	pi:u˥
表	錶	pi:u˥
表	表	pi:u˧˥
婊	婊	pi:u˧˥
晡	晡	pou˥
埔	埔	pou˧
布	布	pou˧
布	佈	pou˧
怖	怖	pou˧
报	報	pou˧
宝	寶	pou˧˥
鸨	鴇	pou˧˥
堡	堡	pou˧˥
圃	圃	pou˧˥
保	保	pou˧˥
补	補	pou˧˥
葆	葆	pou˧˥
哺	哺	pou˨
步	步	pou˨
捕	捕	pou˨
暴	暴	pou˨
部	部	pou˨
簿	簿	pou˨
埠	埠	pou˨/fɐu˨
杯	杯	pu:i˥
贝	貝	pu:i˧
狈	狽	pu:i˧
背	揹	pu:i˧
辈	輩	pu:i˧
钡	鋇	pu:i˧
焙	焙	pu:i˨
背	背	pu:i˨
悖	悖	pu:i˨
搬	搬	pu:n˥
般	般	pu:n˥
半	半	pu:n˧
本	本	pu:n˧˥
畚	畚	pu:n˧˥
苯	苯	pu:n˧˥
绊	絆	pu:n˨
拌	拌	pu:n˨
畔	畔	pu:n˨
叛	叛	pu:n˨
胖	胖	pu:n˨
伴	伴	pu:n˨/pʰu:n˧˥
钵	缽	pu:t˧
拨	撥	pu:t˨
勃	勃	pu:t˨
渤	渤	pu:t˨
脖	脖	pu:t˨
荸	荸	pu:t˨
跛	跛	pɐi˥/pɔ:˧˥
蔽	蔽	pɐi˧
赑	贔	pɐi˧
闭	閉	pɐi˧
毙	斃	pɐi˨
狴	狴	pɐi˨
币	幣	pɐi˨
弊	弊	pɐi˨
敝	敝	pɐi˨
陛	陛	pɐi˨
北	北	pɐk˥
泵	泵	pɐm˥
乓	乓	pɐm˥/pʰɔ:ŋ˥
缤	繽	pɐn˥
滨	濱	pɐn˥
宾	賓	pɐn˥
槟	檳	pɐn˥
奔	奔	pɐn˥
彬	彬	pɐn˥
斌	斌	pɐn˥
濒	瀕	pɐn˥/pʰɐn˨˩
摈	擯	pɐn˧
殡	殯	pɐn˧
鬓	鬢	pɐn˧
禀	稟	pɐn˧˥
品	品	pɐn˧˥
笨	笨	pɐn˨
哔	嗶	pɐt˥
钚	鈈	pɐt˥
不	不	pɐt˥
筚	篳	pɐt˥
跸	蹕	pɐt˥
荜	蓽	pɐt˥
笔	筆	pɐt˥
毕	畢	pɐt˥
菝	菝	pɐt˨
拔	拔	pɐt˨
苾	苾	pɐt˨
钹	鈸	pɐt˨
弼	弼	pɐt˨
跋	跋	pɐt˨
镚	鏰	pɐŋ˥
崩	崩	pɐŋ˥
亳	亳	pɔ:k˧
搏	搏	pɔ:k˧
博	博	pɔ:k˧
驳	駁	pɔ:k˧
膊	膊	pɔ:k˧
缚	縛	pɔ:k˧/fɔ:k˧
雹	雹	pɔ:k˨
箔	箔	pɔ:k˨
礴	礴	pɔ:k˨
泊	泊	pɔ:k˨
铂	鉑	pɔ:k˨
薄	薄	pɔ:k˨
舶	舶	pɔ:k˨/pʰa:k˧
梆	梆	pɔ:ŋ˥
邦	邦	pɔ:ŋ˥
帮	幫	pɔ:ŋ˥
绑	綁	pɔ:ŋ˧˥
膀	膀	pɔ:ŋ˧˥
蒡	蒡	pɔ:ŋ˧˥
榜	榜	pɔ:ŋ˧˥
磅	磅	pɔ:ŋ˨
傍	傍	pɔ:ŋ˨
镑	鎊	pɔ:ŋ˨
波	波	pɔ:˥
玻	玻	pɔ:˥
菠	菠	pɔ:˥
播	播	pɔ:˧
簸	簸	pɔ:˧
柄	柄	pɛ:ŋ˧/pɪŋ˧
饼	餅	pɛ:ŋ˧˥
病	病	pɛ:ŋ˨/pɪŋ˨
啤	啤	pɛ:˥
呗	唄	pɛ:˨
碧	碧	pɪk˥
愎	愎	pɪk˥
璧	璧	pɪk˥
逼	逼	pɪk˥
壁	壁	pɪk˥
冰	冰	pɪŋ˥
兵	兵	pɪŋ˥
乒	乒	pɪŋ˥/pʰɪŋ˥
迸	迸	pɪŋ˧
并	併	pɪŋ˧/pʰɪŋ˧
秉	秉	pɪŋ˧˥
炳	炳	pɪŋ˧˥
屏	屏	pɪŋ˧˥
丙	丙	pɪŋ˧˥
饼	餅	pɪŋ˧˥
并	並	pɪŋ˨
卜	卜	pʊk˥
曝	曝	pʊk˨
瀑	瀑	pʊk˨
濮	濮	pʊk˨
蹼	蹼	pʊk˨
仆	僕	pʊk˨
甭	甭	pʊŋ˧
哌	哌	pʰa:i˧
派	派	pʰa:i˧
湃	湃	pʰa:i˧/pa:i˧
牌	牌	pʰa:i˨˩
俳	俳	pʰa:i˨˩
排	排	pʰa:i˨˩
啪	啪	pʰa:k˥
珀	珀	pʰa:k˧
拍	拍	pʰa:k˧
帕	帕	pʰa:k˧
魄	魄	pʰa:k˧
柏	柏	pʰa:k˧
扳	扳	pʰa:n˥
攀	攀	pʰa:n˥
盼	盼	pʰa:n˧
袢	袢	pʰa:n˧
脬	脬	pʰa:u˥
抛	拋	pʰa:u˥
泡	泡	pʰa:u˥
疱	疱	pʰa:u˧
豹	豹	pʰa:u˧
泡	泡	pʰa:u˧
炮	炮	pʰa:u˧
跑	跑	pʰa:u˧˥
狍	麅	pʰa:u˨˩
刨	刨	pʰa:u˨˩
咆	咆	pʰa:u˨˩
匏	匏	pʰa:u˨˩
庖	庖	pʰa:u˨˩
澎	澎	pʰa:ŋ˥
烹	烹	pʰa:ŋ˥
鹏	鵬	pʰa:ŋ˨˩
硼	硼	pʰa:ŋ˨˩
澎	澎	pʰa:ŋ˨˩
棚	棚	pʰa:ŋ˨˩
膨	膨	pʰa:ŋ˨˩
彭	彭	pʰa:ŋ˨˩
棒	棒	pʰa:ŋ˩˧
趴	趴	pʰa:˥
怕	怕	pʰa:˧
杷	杷	pʰa:˨˩
琶	琶	pʰa:˨˩
耙	耙	pʰa:˨˩
扒	扒	pʰa:˨˩
爬	爬	pʰa:˨˩
呸	呸	pʰei˥
丕	丕	pʰei˥
披	披	pʰei˥
纰	紕	pʰei˥
狉	狉	pʰei˥
濞	濞	pʰei˧
屁	屁	pʰei˧
譬	譬	pʰei˧
媲	媲	pʰei˧/pei˧˥
鄙	鄙	pʰei˧˥
否	否	pʰei˧˥
吡	吡	pʰei˧˥
痞	痞	pʰei˧˥
圮	圮	pʰei˧˥
仳	仳	pʰei˧˥
貔	貔	pʰei˨˩
疲	疲	pʰei˨˩
琵	琵	pʰei˨˩
脾	脾	pʰei˨˩
枇	枇	pʰei˨˩
皮	皮	pʰei˨˩
蜱	蜱	pʰei˨˩
郫	郫	pʰei˨˩
邳	邳	pʰei˨˩
毗	毗	pʰei˨˩
被	被	pʰei˩˧
婢	婢	pʰei˩˧
翩	翩	pʰi:n˥
篇	篇	pʰi:n˥
偏	偏	pʰi:n˥
编	編	pʰi:n˥
扁	扁	pʰi:n˥
蝙	蝙	pʰi:n˥/pi:n˥
遍	遍	pʰi:n˧
片	片	pʰi:n˧
骗	騙	pʰi:n˧
片	片	pʰi:n˧˥
片	片	pʰi:n˧˥
骈	駢	pʰi:n˨˩
便	便	pʰi:n˨˩
撇	撇	pʰi:t˧
瞥	瞥	pʰi:t˧
漂	漂	pʰi:u˥
缥	縹	pʰi:u˥
嘌	嘌	pʰi:u˥
飘	飄	pʰi:u˥
票	票	pʰi:u˧
漂	漂	pʰi:u˧
剽	剽	pʰi:u˧/pʰi:u˩˧
朴	朴	pʰi:u˨˩
瓢	瓢	pʰi:u˨˩
嫖	嫖	pʰi:u˨˩
瞟	瞟	pʰi:u˩˧
鳔	鰾	pʰi:u˩˧
铺	鋪	pʰou˥
铺	舖	pʰou˧
谱	譜	pʰou˧˥
浦	浦	pʰou˧˥
普	普	pʰou˧˥
溥	溥	pʰou˧˥
脯	脯	pʰou˧˥/fu:˧˥
葡	葡	pʰou˨˩
蒲	蒲	pʰou˨˩
莆	莆	pʰou˨˩
菩	菩	pʰou˨˩
匍	匍	pʰou˨˩
脯	脯	pʰou˨˩
袍	袍	pʰou˨˩
泡	泡	pʰou˩˧
抱	抱	pʰou˩˧
坯	坯	pʰu:i˥
胚	胚	pʰu:i˥
霈	霈	pʰu:i˧
配	配	pʰu:i˧
沛	沛	pʰu:i˧
珮	珮	pʰu:i˧
佩	佩	pʰu:i˧
培	培	pʰu:i˨˩
赔	賠	pʰu:i˨˩
陪	陪	pʰu:i˨˩
徘	徘	pʰu:i˨˩
裴	裴	pʰu:i˨˩
倍	倍	pʰu:i˩˧
蓓	蓓	pʰu:i˩˧/pʰu:i˨˩
潘	潘	pʰu:n˥
番	番	pʰu:n˥
拚	拚	pʰu:n˧
判	判	pʰu:n˧
蟠	蟠	pʰu:n˨˩
磐	磐	pʰu:n˨˩
盆	盆	pʰu:n˨˩
槃	槃	pʰu:n˨˩
盘	盤	pʰu:n˨˩
蹒	蹣	pʰu:n˨˩/mu:n˨˩
泼	潑	pʰu:t˧
批	批	pʰɐi˥
睥	睥	pʰɐi˩˧
喷	噴	pʰɐn˧
贫	貧	pʰɐn˨˩
颦	顰	pʰɐn˨˩
嫔	嬪	pʰɐn˨˩
频	頻	pʰɐn˨˩
牝	牝	pʰɐn˩˧
疋	疋	pʰɐt˥
匹	匹	pʰɐt˥
剖	剖	pʰɐu˧˥
抔	抔	pʰɐu˨˩
朋	朋	pʰɐŋ˨˩
凭	憑	pʰɐŋ˨˩
璞	璞	pʰɔ:k˧
朴	樸	pʰɔ:k˧
扑	撲	pʰɔ:k˧
钋	釙	pʰɔ:k˧
噗	噗	pʰɔ:k˧
粕	粕	pʰɔ:k˧/pʰa:k˧
谤	謗	pʰɔ:ŋ˧
膀	膀	pʰɔ:ŋ˨˩
磅	磅	pʰɔ:ŋ˨˩
庞	龐	pʰɔ:ŋ˨˩
彷	彷	pʰɔ:ŋ˨˩
旁	旁	pʰɔ:ŋ˨˩
滂	滂	pʰɔ:ŋ˨˩
螃	螃	pʰɔ:ŋ˨˩
蚌	蚌	pʰɔ:ŋ˩˧
颇	頗	pʰɔ:˥
棵	棵	pʰɔ:˥/fɔ:˧˥
坡	坡	pʰɔ:˥/pɔ:˥
破	破	pʰɔ:˧
笸	笸	pʰɔ:˧˥
叵	叵	pʰɔ:˧˥
颇	頗	pʰɔ:˧˥
婆	婆	pʰɔ:˨˩
鄱	鄱	pʰɔ:˨˩/pɔ:˧
劈	劈	pʰɛ:k˧
癖	癖	pʰɪk˥
霹	霹	pʰɪk˥
僻	僻	pʰɪk˥
辟	辟	pʰɪk˥
辟	闢	pʰɪk˥
砰	砰	pʰɪŋ˥
姘	姘	pʰɪŋ˥
抨	抨	pʰɪŋ˥
娉	娉	pʰɪŋ˥
怦	怦	pʰɪŋ˥
拼	拼	pʰɪŋ˥/pʰɪŋ˧
聘	聘	pʰɪŋ˧
坪	坪	pʰɪŋ˨˩
评	評	pʰɪŋ˨˩
瓶	瓶	pʰɪŋ˨˩
萍	萍	pʰɪŋ˨˩
平	平	pʰɪŋ˨˩
屏	屏	pʰɪŋ˨˩
苹	蘋	pʰɪŋ˨˩
仆	仆	pʰʊk˥
碰	碰	pʰʊŋ˧
捧	捧	pʰʊŋ˧˥/pʊŋ˧˥
芃	芃	pʰʊŋ˨˩
篷	篷	pʰʊŋ˨˩
蓬	蓬	pʰʊŋ˨˩/fʊŋ˨˩
晒	曬	sa:i˧
玺	璽	sa:i˧˥
徙	徙	sa:i˧˥
索	索	sa:k˧/sɔ:k˧
叁	叄	sa:m˥
仨	仨	sa:m˥
衫	衫	sa:m˥
三	三	sa:m˥
三	三	sa:m˧
山	山	sa:n˥
舢	舢	sa:n˥
闩	閂	sa:n˥
拴	拴	sa:n˥
栓	栓	sa:n˥
跚	跚	sa:n˥
姗	姍	sa:n˥
删	刪	sa:n˥
珊	珊	sa:n˥
潸	潸	sa:n˥
篡	篡	sa:n˧
讪	訕	sa:n˧
疝	疝	sa:n˧
散	散	sa:n˧
涮	涮	sa:n˧
汕	汕	sa:n˧
伞	傘	sa:n˧
散	散	sa:n˧˥
潺	潺	sa:n˨˩
孱	孱	sa:n˨˩
飒	颯	sa:p˧
圾	圾	sa:p˧
萨	薩	sa:t˧
煞	煞	sa:t˧
铩	鎩	sa:t˧
杀	殺	sa:t˧
撒	撒	sa:t˧
刹	剎	sa:t˧
梢	梢	sa:u˥
捎	捎	sa:u˥
哨	哨	sa:u˧
稍	稍	sa:u˧˥
牲	牲	sa:ŋ˥
甥	甥	sa:ŋ˥
省	省	sa:ŋ˧˥
裟	裟	sa:˥
鲨	鯊	sa:˥
卅	卅	sa:˥
啥	啥	sa:˥
砂	砂	sa:˥
莎	莎	sa:˥
沙	沙	sa:˥
纱	紗	sa:˥
痧	痧	sa:˥
洒	灑	sa:˧˥
耍	耍	sa:˧˥
四	四	sei˧
死	死	sei˧˥
闪	閃	si:m˧˥
陕	陝	si:m˧˥
赡	贍	si:m˨
禅	禪	si:m˨˩
单	單	si:m˨˩
蟾	蟾	si:m˨˩
鲜	鮮	si:n˥
先	先	si:n˥
仙	仙	si:n˥
酰	酰	si:n˥
氙	氙	si:n˥/sa:n˥
霰	霰	si:n˧
线	線	si:n˧
骟	騸	si:n˧
煽	煽	si:n˧
扇	扇	si:n˧
腺	腺	si:n˧
鲜	鮮	si:n˧˥
癣	癬	si:n˧˥
跣	跣	si:n˧˥
冼	冼	si:n˧˥
善	善	si:n˨
缮	繕	si:n˨
羡	羨	si:n˨
单	單	si:n˨
倩	倩	si:n˨
膳	膳	si:n˨
擅	擅	si:n˨
嬗	嬗	si:n˨
禅	禪	si:n˨
掸	撣	si:n˨
鄯	鄯	si:n˨
茜	茜	si:n˨/sɐi˥
蝉	蟬	si:n˨˩
鳝	鱔	si:n˩˧
摄	攝	si:p˧
歙	歙	si:p˧
涉	涉	si:p˧
慑	懾	si:p˧/tsi:p˧
舌	舌	si:t˧
窃	竊	si:t˧
亵	褻	si:t˧
屑	屑	si:t˧
薛	薛	si:t˧
楔	楔	si:t˧
绁	絏	si:t˧
泄	洩	si:t˧
揳	揳	si:t˧/si:p˧
消	消	si:u˥
霄	霄	si:u˥
潇	瀟	si:u˥
韶	韶	si:u˥
销	銷	si:u˥
烧	燒	si:u˥
萧	蕭	si:u˥
硝	硝	si:u˥
宵	宵	si:u˥
箫	簫	si:u˥
魈	魈	si:u˥
逍	逍	si:u˥
笑	笑	si:u˧
啸	嘯	si:u˧
少	少	si:u˧
少	少	si:u˧˥
小	小	si:u˧˥
筱	筱	si:u˧˥
劭	劭	si:u˨
肇	肇	si:u˨
兆	兆	si:u˨
绍	紹	si:u˨
邵	邵	si:u˨
司	司	si:˥
厮	廝	si:˥
尸	屍	si:˥
思	思	si:˥
施	施	si:˥
丝	絲	si:˥
斯	斯	si:˥
蓍	蓍	si:˥
撕	撕	si:˥
尸	尸	si:˥
诗	詩	si:˥
狮	獅	si:˥
师	師	si:˥
私	私	si:˥
弑	弒	si:˧
泗	泗	si:˧
使	使	si:˧
嗜	嗜	si:˧
驷	駟	si:˧
谥	諡	si:˧
肆	肆	si:˧
试	試	si:˧
屎	屎	si:˧˥
使	使	si:˧˥
史	史	si:˧˥
事	事	si:˨
是	是	si:˨
示	示	si:˨
伺	伺	si:˨
仕	仕	si:˨
侍	侍	si:˨
豉	豉	si:˨
氏	氏	si:˨
士	士	si:˨
视	視	si:˨
匙	匙	si:˨˩
鲥	鰣	si:˨˩
莳	蒔	si:˨˩
时	時	si:˨˩
市	市	si:˩˧
苏	囌	sou˥
酥	酥	sou˥
搔	搔	sou˥
甦	甦	sou˥
苏	蘇	sou˥
须	鬚	sou˥
臊	臊	sou˥
稣	穌	sou˥
骚	騷	sou˥
素	素	sou˧
扫	掃	sou˧
溯	溯	sou˧
数	數	sou˧
塑	塑	sou˧
愫	愫	sou˧
诉	訴	sou˧
臊	臊	sou˧
嫂	嫂	sou˧˥
数	數	sou˧˥
飧	飧	sy:n˥
悛	悛	sy:n˥
瑄	瑄	sy:n˥
荪	蓀	sy:n˥
孙	孫	sy:n˥
酸	酸	sy:n˥
宣	宣	sy:n˥
狻	狻	sy:n˥
狲	猻	sy:n˥
蒜	蒜	sy:n˧
算	算	sy:n˧
渲	渲	sy:n˧/hy:n˥
选	選	sy:n˧˥
损	損	sy:n˧˥
篆	篆	sy:n˨
漩	漩	sy:n˨˩
旋	旋	sy:n˨˩
船	船	sy:n˨˩
璇	璇	sy:n˨˩
隽	雋	sy:n˩˧
吮	吮	sy:n˩˧
雪	雪	sy:t˧
鳕	鱈	sy:t˧
说	說	sy:t˧
纾	紓	sy:˥
舒	舒	sy:˥
书	書	sy:˥
枢	樞	sy:˥
抒	抒	sy:˥
输	輸	sy:˥
戍	戍	sy:˧
庶	庶	sy:˧
恕	恕	sy:˧
暑	暑	sy:˧˥
鼠	鼠	sy:˧˥
黍	黍	sy:˧˥
树	樹	sy:˨
竖	豎	sy:˨
殊	殊	sy:˨˩
薯	薯	sy:˨˩
削	削	sœ:k˧
烁	爍	sœ:k˧
铄	鑠	sœ:k˧
伤	傷	sœ:ŋ˥
商	商	sœ:ŋ˥
厢	廂	sœ:ŋ˥
双	雙	sœ:ŋ˥
霜	霜	sœ:ŋ˥
觞	觴	sœ:ŋ˥
湘	湘	sœ:ŋ˥
鹴	鸘	sœ:ŋ˥
殇	殤	sœ:ŋ˥
镶	鑲	sœ:ŋ˥
相	相	sœ:ŋ˥
襄	襄	sœ:ŋ˥
箱	箱	sœ:ŋ˥
孀	孀	sœ:ŋ˥
相	相	sœ:ŋ˧
想	想	sœ:ŋ˧˥
鲞	鯗	sœ:ŋ˧˥
赏	賞	sœ:ŋ˧˥
上	上	sœ:ŋ˨
尚	尚	sœ:ŋ˨
尝	嘗	sœ:ŋ˨˩
徜	徜	sœ:ŋ˨˩
嫦	嫦	sœ:ŋ˨˩
裳	裳	sœ:ŋ˨˩
尝	嚐	sœ:ŋ˨˩
偿	償	sœ:ŋ˨˩
常	常	sœ:ŋ˨˩
上	上	sœ:ŋ˩˧
西	西	sɐi˥
硒	硒	sɐi˥
筛	篩	sɐi˥
嘶	嘶	sɐi˥
犀	犀	sɐi˥
舾	舾	sɐi˥
细	細	sɐi˧
势	勢	sɐi˧
婿	婿	sɐi˧
世	世	sɐi˧
使	使	sɐi˧˥
洗	洗	sɐi˧˥
驶	駛	sɐi˧˥
噬	噬	sɐi˨
逝	逝	sɐi˨
誓	誓	sɐi˨
筮	筮	sɐi˨
舐	舐	sɐi˩˧/sɐi˧˥
噻	噻	sɐk˥
塞	塞	sɐk˥
参	參	sɐm˥
深	深	sɐm˥
心	心	sɐm˥
芯	芯	sɐm˥
郴	郴	sɐm˥
森	森	sɐm˥
琛	琛	sɐm˥
渗	滲	sɐm˧
沁	沁	sɐm˧
婶	嬸	sɐm˧˥
沈	沈	sɐm˧˥
审	審	sɐm˧˥
沈	瀋	sɐm˧˥
什	什	sɐm˨
葚	椹	sɐm˨
甚	甚	sɐm˨
涔	涔	sɐm˨˩
梣	梣	sɐm˨˩
忱	忱	sɐm˨˩
岑	岑	sɐm˨˩
绅	紳	sɐn˥
呻	呻	sɐn˥
身	身	sɐn˥
辛	辛	sɐn˥
锌	鋅	sɐn˥
新	新	sɐn˥
伸	伸	sɐn˥
莘	莘	sɐn˥
燊	燊	sɐn˥
申	申	sɐn˥
娠	娠	sɐn˥
薪	薪	sɐn˥
砷	砷	sɐn˥
慎	慎	sɐn˨
蜃	蜃	sɐn˨/sɐn˩˧
晨	晨	sɐn˨˩
臣	臣	sɐn˨˩
辰	辰	sɐn˨˩
神	神	sɐn˨˩
肾	腎	sɐn˩˧
湿	濕	sɐp˥
涩	澀	sɐp˥/sɪk˥/ki:p˧
霎	霎	sɐp˧
十	十	sɐp˨
拾	拾	sɐp˨
失	失	sɐt˥
瑟	瑟	sɐt˥
膝	膝	sɐt˥
虱	蝨	sɐt˥
室	室	sɐt˥
实	實	sɐt˨
飕	颼	sɐu˥
螋	螋	sɐu˥
馊	餿	sɐu˥
羞	羞	sɐu˥
嗖	嗖	sɐu˥
收	收	sɐu˥
修	修	sɐu˥
搜	搜	sɐu˥/sɐu˧˥
锈	鏽	sɐu˧
兽	獸	sɐu˧
宿	宿	sɐu˧
秀	秀	sɐu˧
狩	狩	sɐu˧
嗽	嗽	sɐu˧
漱	漱	sɐu˧
琇	琇	sɐu˧
瘦	瘦	sɐu˧
绣	繡	sɐu˧
手	手	sɐu˧˥
擞	擻	sɐu˧˥
嗾	嗾	sɐu˧˥
首	首	sɐu˧˥
守	守	sɐu˧˥
搜	搜	sɐu˧˥
艘	艘	sɐu˧˥/sɐu˥
绶	綬	sɐu˨
售	售	sɐu˨
受	受	sɐu˨
寿	壽	sɐu˨
授	授	sɐu˨
愁	愁	sɐu˨˩
仇	仇	sɐu˨˩
笙	笙	sɐŋ˥
生	生	sɐŋ˥/sa:ŋ˥
蹭	蹭	sɐŋ˧
擤	擤	sɐŋ˧
鳃	鰓	sɔ:i˥
腮	腮	sɔ:i˥
朔	朔	sɔ:k˧
说	說	sɔ:k˧
索	索	sɔ:k˧
桑	桑	sɔ:ŋ˥
丧	喪	sɔ:ŋ˥
丧	喪	sɔ:ŋ˧
搡	搡	sɔ:ŋ˧˥
爽	爽	sɔ:ŋ˧˥
嗓	嗓	sɔ:ŋ˧˥
疏	疏	sɔ:˥
梳	梳	sɔ:˥
嗦	嗦	sɔ:˥
蓑	蓑	sɔ:˥
梭	梭	sɔ:˥
唆	唆	sɔ:˥
蔬	蔬	sɔ:˥
羧	羧	sɔ:˥
唢	嗩	sɔ:˧˥
锁	鎖	sɔ:˧˥
琐	瑣	sɔ:˧˥
所	所	sɔ:˧˥
傻	傻	sɔ:˨˩
锡	錫	sɛ:k˧
石	石	sɛ:k˨
硕	碩	sɛ:k˨
些	些	sɛ:˥
卸	卸	sɛ:˧
猞	猞	sɛ:˧
舍	舍	sɛ:˧
赦	赦	sɛ:˧
泻	瀉	sɛ:˧
写	寫	sɛ:˧˥
舍	捨	sɛ:˧˥
射	射	sɛ:˨
麝	麝	sɛ:˨
畲	畲	sɛ:˨˩
蛇	蛇	sɛ:˨˩
社	社	sɛ:˩˧
拭	拭	sɪk˥
饰	飾	sɪk˥
式	式	sɪk˥
昔	昔	sɪk˥
皙	皙	sɪk˥
晰	晰	sɪk˥
轼	軾	sɪk˥
析	析	sɪk˥
色	色	sɪk˥
适	適	sɪk˥
媳	媳	sɪk˥
识	識	sɪk˥
惜	惜	sɪk˥
铯	銫	sɪk˥
啬	嗇	sɪk˥
释	釋	sɪk˥
淅	淅	sɪk˥
蟋	蟋	sɪk˥
悉	悉	sɪk˥
螫	螫	sɪk˥
熄	熄	sɪk˥
息	息	sɪk˥
蜥	蜥	sɪk˥
蚀	蝕	sɪk˨
食	食	sɪk˨
升	升	sɪŋ˥
猩	猩	sɪŋ˥
惺	惺	sɪŋ˥
胜	勝	sɪŋ˥
升	昇	sɪŋ˥
星	星	sɪŋ˥
升	陞	sɪŋ˥
腥	腥	sɪŋ˥/sɛ:ŋ˥
声	聲	sɪŋ˥/sɛ:ŋ˥
姓	姓	sɪŋ˧
圣	聖	sɪŋ˧
胜	勝	sɪŋ˧
性	性	sɪŋ˧
省	省	sɪŋ˧˥
醒	醒	sɪŋ˧˥/sɛ:ŋ˧˥
剩	剩	sɪŋ˨
盛	盛	sɪŋ˨
嵊	嵊	sɪŋ˨
丞	丞	sɪŋ˨˩
承	承	sɪŋ˨˩
成	成	sɪŋ˨˩
城	城	sɪŋ˨˩
乘	乘	sɪŋ˨˩
诚	誠	sɪŋ˨˩
渑	澠	sɪŋ˨˩
绳	繩	sɪŋ˨˩
盛	盛	sɪŋ˨˩
峋	峋	sɵn˥
芯	芯	sɵn˥
殉	殉	sɵn˥
询	詢	sɵn˥
荀	荀	sɵn˥
迅	迅	sɵn˧
逊	遜	sɵn˧
汛	汛	sɵn˧
巽	巽	sɵn˧
瞬	瞬	sɵn˧
讯	訊	sɵn˧
信	信	sɵn˧
浚	浚	sɵn˧
舜	舜	sɵn˧
囟	囟	sɵn˧/sɵn˧˥
笋	筍	sɵn˧˥
榫	榫	sɵn˧˥
顺	順	sɵn˨
唇	脣	sɵn˨˩
淳	淳	sɵn˨˩
纯	純	sɵn˨˩
醇	醇	sɵn˨˩
鹑	鶉	sɵn˨˩/tsʰɵn˥
戌	戌	sɵt˥
率	率	sɵt˥
恤	恤	sɵt˥
摔	摔	sɵt˥
蟀	蟀	sɵt˥
沭	沭	sɵt˨
述	述	sɵt˨
术	術	sɵt˨
睢	睢	sɵy˥
绥	綏	sɵy˥
荽	荽	sɵy˥
濉	濉	sɵy˥
须	須	sɵy˥
胥	胥	sɵy˥
虽	雖	sɵy˥
衰	衰	sɵy˥
需	需	sɵy˥
碎	碎	sɵy˧
岁	歲	sɵy˧
帅	帥	sɵy˧
说	說	sɵy˧
税	稅	sɵy˧
水	水	sɵy˧˥
睡	睡	sɵy˨
祟	祟	sɵy˨
穗	穗	sɵy˨
悴	悴	sɵy˨
隧	隧	sɵy˨
萃	萃	sɵy˨
邃	邃	sɵy˨
燧	燧	sɵy˨
粹	粹	sɵy˨
遂	遂	sɵy˨
瑞	瑞	sɵy˨
瘁	瘁	sɵy˨/sɵy˩˧
谁	誰	sɵy˨˩
垂	垂	sɵy˨˩
